iter	Passed	Remaining
405	8171	32084
406	8191	32062
407	8211	32042
408	8231	32019
409	8251	31999
410	8271	31979
411	8291	31959
412	8311	31938
413	8331	31917
414	8351	31897
415	8372	31878
416	8390	31853
417	8411	31834
418	8431	31812
419	8451	31792
420	8471	31773
421	8491	31752
422	8512	31734
423	8534	31720
424	8552	31695
425	8572	31674
426	8593	31656
427	8615	31643
428	8634	31619
429	8653	31594
430	8672	31572
431	8693	31555
432	8714	31536
433	8733	31514
434	8754	31497
435	8775	31478
436	8794	31455
437	8814	31435
438	8835	31416
439	8855	31395
440	8875	31375
441	8895	31355
442	8914	31331
443	8935	31312
444	8955	31294
445	8976	31276
446	8996	31255
447	9016	31234
448	9036	31214
449	9055	31190
450	9075	31171
451	9095	31150
452	9115	31130
453	9135	31110
454	9155	31089
455	9175	31068
456	9196	31050
457	9216	31029
458	9237	31012
459	9257	30993
460	9277	30971
461	9300	30960
462	9321	30944
463	9341	30922
464	9361	30902
465	9382	30886
466	9403	30867
467	9422	30845
468	9442	30822
469	9462	30801
470	9483	30785
471	9503	30765
472	9524	30748
473	9544	30727
474	9564	30706
475	9584	30687
476	9604	30666
477	9624	30644
478	9645	30626
479	9664	30605
480	9684	30584
481	9705	30567
482	9725	30546
483	9745	30524
484	9764	30502
485	9785	30482
486	9805	30462
487	9824	30440
488	9844	30420
489	9863	30396
490	9884	30379
491	9905	30359
492	9924	30337
493	9944	30317
494	9965	30298
495	9986	30282
496	10011	30274
497	10030	30252
498	10052	30236
499	10072	30216
500	10092	30196
501	10111	30174
502	10131	30151
503	10151	30131
504	10171	30112
505	10192	30092
506	10212	30074
507	10233	30054
508	10253	30034
509	10273	30015
510	10294	29995
511	10313	29973
512	10334	29954
513	10352	29929
514	10372	29910
515	10392	29888
516	10411	29865
517	10433	29848
518	10453	29828
519	10474	29811
520	10493	29789
521	10513	29769
522	10533	29746
523	10553	29726
524	10572	29704
525	10592	29682
526	10612	29663
527	10632	29642
528	10652	29620
529	10672	29601
530	10694	29586
531	10713	29564
532	10734	29545
533	10754	29524
534	10773	29502
535	10794	29483
536	10813	29459
537	10832	29437
538	10853	29419
539	10874	29402
540	10893	29378
541	10914	29360
542	10934	29340
543	10953	29316
544	10974	29300
545	10995	29280
546	11015	29261
547	11036	29241
548	11055	29218
549	11075	29199
550	11096	29182
551	11116	29160
552	11137	29142
553	11155	29117
554	11175	29095
555	11195	29075
556	11214	29052
557	11234	29032
558	11255	29013
559	11275	28993
560	11295	28972
561	11315	28953
562	11336	28934
563	11355	28913
564	11376	28894
565	11397	28875
566	11417	28854
567	11436	28833
568	11456	28812
569	11476	28792
570	11496	28771
571	11517	28752
572	11538	28734
573	11556	28711
574	11577	28692
575	11595	28667
576	11616	28647
577	11635	28625
578	11655	28604
579	11675	28583
580	11695	28563
581	11717	28548
582	11737	28528
583	11758	28510
584	11778	28489
585	11799	28471
586	11819	28450
587	11838	28429
588	11859	28410
589	11884	28401
590	11904	28380
591	11924	28360
592	11946	28344
593	11965	28322
594	11985	28302
595	12005	28282
596	12025	28261
597	12044	28238
